## ../AL123456.3H37Rv.fasta
## query=rep_unit.fasta
## ver=v1.3 | minimum error-free hits=1 | pred=True | seq=True | swift=off | filter=None| sorted=None
## RepUnit	CompleteHits	OneErrorHits	95PerCentHits	Signal01
3155_02	2	2	3	1
3155_03	0	2	3	0
3155_04	1	1	1	1
3155_FL_02	1	1	1	1
3155_FL_03	1	1	1	1
3171_FL_01	1	1	1	1
3171_01	2	2	3	1
3171_02	1	1	3	1
3171_FL_02	1	1	1	1
3171_FL_03	1	1	1	1
M31_FL_01	1	1	1	1
M31_01	2	3	4	1
M31_02	1	4	8	1
M31_FL_02	1	1	1	1
M31_FL_03	1	1	1	1
3232_FL_01	1	1	1	1
3232_01	2	3	3	1
3232_02	1	3	3	1
3232_03	1	1	1	1
3232_04	0	1	3	0
3232_FL_02	1	1	1	1
3232_FL_03	1	1	1	1
3336_FL_01	1	1	1	1
3336_01	1	1	5	1
3336_02	2	4	4	1
3336_03	2	4	4	1
3336_04	0	1	5	0
3336_05	0	2	4	0
3336_FL_02	1	1	1	1
3336_FL_03	1	1	1	1
3690_FL_01	1	1	1	1
3690_01	1	1	2	1
3690_02	1	1	2	1
3690_03	0	1	1	0
3690_FL_02	1	1	1	1
3690_FL_03	1	1	1	1
3820_FL_01a	1	1	1	1
3820_FL_01b	0	1	1	0
3820_01	1	1	2	1
3820_02	1	1	3	1
3820_03	0	1	3	0
3820_04	0	1	1	0
3820_05	1	1	1	1
3820_06	0	1	2	0
3820_07	0	0	2	0
3820_08	0	1	2	0
3820_09	0	1	2	0
3820_10	0	1	2	0
3820_11	0	1	1	0
3820_12	0	0	1	0
3820_FL_02	1	1	1	1
3820_FL_03R	1	1	1	1
4052_FL_01	1	1	1	1
4052_01	5	5	5	1
4052_02	0	5	5	0
4052_03	0	5	5	0
4052_04	0	0	5	0
4052_FL_02	1	1	1	1
4052_FL_03	1	1	1	1
4120_FL_01	1	1	1	1
4120_01	2	2	2	1
4120_02	0	2	2	0
4120_FL_02	1	1	1	1
4120_FL_03	1	1	1	1
4156_FL_01	1	1	1	1
4156_01	2	2	2	1
4156_FL_02R	1	1	1	1
4156_FL_03R	1	1	1	1
M39_FL_01	1	1	1	1
M39_01	1	1	1	1
M39_02	1	1	1	1
M39_FL_02	1	1	1	1
M39_FL_03	1	1	1	1
## [PREDICTION]
## RepLocus	NoRepeats	NoFL	CV>0.2_unstableFL
M2	2	3	0.0
0424	2	3	0.0
ETR-C	4	3	0.0
M4	3	3	0.0
M40	1	3	0.0
M10	3	3	0.0
M16	2	3	0.0
1955	2	3	0.0
1982	5	4	0.0
M20	2	3	0.0
2074	4	3	0.0
2163a	3	3	0.0
2163b	5	3	0.0
ETR-A	3	3	0.0
2347	4	3	0.0
2372	2	3	0.0
2401	2	3	0.0
ETR-B	3	3	0.0
M23	6	3	0.0
M24	1	3	0.0
M26	3	3	0.0
M27	3	3	0.0
3155	4	3	0.0
3171	3	3	0.0
M31	3	3	0.0
3232	4	3	0.0
3336	5	3	0.0
3690	2	3	0.0
3820	3	3	0.0
4052	5	3	0.0
4120	2	3	0.0
4156	2	3	0.0
M39	2	3	0.0
